"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000031972",9273.70603600644,11.8528274426952,0.466582043932356,25.4035224819188,2.3056973007869e-142,7.09739743128222e-138
"ENSMUSG00000044041",14069.8785505826,11.9798909165637,0.51427775616008,23.2945928013941,5.02958368992515e-120,7.7410322571638e-116
"ENSMUSG00000069792",3415.61195613769,-4.68745968527261,0.217033571053173,-21.59785540332,1.88149709768742e-103,1.93054145536714e-99
"ENSMUSG00000026180",3267.61658568585,-4.6106193320365,0.215586829069549,-21.3863683228492,1.78961361148042e-101,1.37719715471475e-97
"ENSMUSG00000024222",6890.42681668348,-4.15192480953387,0.196861391246534,-21.0905997526672,9.70237617413191e-99,5.97317086784257e-95
"ENSMUSG00000056071",55118.3320578485,-5.86582819960727,0.284656499269885,-20.6066898688508,2.39029475192469e-94,1.2263008842291e-90
"ENSMUSG00000033355",1658.64252385075,3.14453939885398,0.153393271477705,20.4998522331602,2.15948172181726e-93,9.49616662299698e-90
"ENSMUSG00000030672",1446.0209202137,6.25024823473229,0.307791116775974,20.3067856545111,1.11998433430451e-91,4.3094197223202e-88
"ENSMUSG00000061723",3101.66685020906,6.38971728182021,0.315063346524467,20.2807383096339,1.90254159038733e-91,6.50711502614474e-88
"ENSMUSG00000000031",2502.07062835746,8.94278597820774,0.447389574382099,19.9888117432304,6.89174581703873e-89,2.12141719740086e-85
"ENSMUSG00000030399",4308.12952167907,7.40434141668089,0.371963566654444,19.9060931780976,3.60344464090636e-88,1.00837484487618e-84
"ENSMUSG00000021091",26740.8128151436,-3.70123748024926,0.186558116714745,-19.8395950035699,1.35546212169435e-87,3.47698625249962e-84
"ENSMUSG00000030413",1988.05565963158,-3.51814144153996,0.180259025458024,-19.5171444680822,7.85049003803818e-85,1.85887526423763e-81
"ENSMUSG00000030144",1078.45378875345,-4.01178091810761,0.207029750500695,-19.3777991250303,1.18821032293221e-83,2.61253501146423e-80
"ENSMUSG00000055413",1346.55255102265,2.80041168744393,0.144588336406393,19.3681714379287,1.43255510444298e-83,2.93979408166426e-80
"ENSMUSG00000001156",5238.27311124879,-2.66614194198716,0.137824120162569,-19.3445235771674,2.26689515415905e-83,4.36122291470775e-80
"ENSMUSG00000060063",6026.94586312072,-3.8011267648654,0.199244470114455,-19.0777026970027,3.86894509606699e-81,7.00552164394907e-78
"ENSMUSG00000113136",1071.40837169835,-3.28300343857223,0.173586655120224,-18.9127639811854,8.95383493671481e-80,1.53120526123308e-76
