"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000038507",4009.36969773749,-2.71274948202751,0.0686880030488443,-39.4937887493754,0,0
"ENSMUSG00000025498",4377.45360116538,-4.99499138151562,0.130454243095553,-38.2892212854816,0,0
"ENSMUSG00000040033",5437.0325587991,-2.97031022636624,0.0779924668006755,-38.0845785267624,0,0
"ENSMUSG00000046879",12963.9515767535,-5.6591776236332,0.116600742723975,-48.5346618848731,0,0
"ENSMUSG00000078853",18454.3510454642,-6.29651645882239,0.13126977436651,-47.9662320531021,0,0
"ENSMUSG00000021266",22541.8993110903,-4.11829298111273,0.085448519296693,-48.1961889452205,0,0
"ENSMUSG00000020638",1655.79182467632,-4.64041461097892,0.11589056253217,-40.0413503014172,0,0
"ENSMUSG00000033355",1658.64252385075,-5.54789293547874,0.13822049263944,-40.1379913320876,0,0
"ENSMUSG00000037321",10654.4405499106,-4.24880781690136,0.0914284789564181,-46.4713824991737,0,0
"ENSMUSG00000039699",1782.58761638793,-6.56630856344969,0.17304793385236,-37.9450272376664,0,0
"ENSMUSG00000040483",2484.87681883127,-4.48898297974689,0.121860583142751,-36.8370383923763,4.71638730108757e-297,1.20430805920862e-293
"ENSMUSG00000018899",15532.5108909051,-3.44632254880314,0.0958734760054845,-35.946569295203,5.72625568318908e-283,1.34032558024512e-279
"ENSMUSG00000061232",59639.3427116279,-3.18631595753978,0.0888486320863799,-35.8622961627816,1.18295342201633e-281,2.5559073628919e-278
"ENSMUSG00000067212",17568.3886509973,-3.95278464426993,0.110766260398464,-35.6858183173326,6.56070472180207e-279,1.31626481589983e-275
"ENSMUSG00000078921",3614.57862443402,-6.93270783246991,0.196807711671363,-35.225793611413,8.05669400908832e-272,1.50864280884849e-268
"ENSMUSG00000056116",6205.94706197802,-3.50675726662803,0.101664442566793,-34.4934490180686,1.00572844739367e-260,1.76555628939959e-257
"ENSMUSG00000055413",1346.55255102265,-4.38270529604308,0.12925441054439,-33.9075879699898,5.14942159607006e-252,8.50805610531859e-249
"ENSMUSG00000062488",872.381970720986,-5.15006893320074,0.158506193630233,-32.4912788279741,1.41601764983947e-231,2.20961687492728e-228
"ENSMUSG00000069874",10162.5367388529,-5.64940979742704,0.17406423647342,-32.4558904912653,4.47328173657615e-231,6.61292302194478e-228
"ENSMUSG00000034459",2799.97084963583,-6.12491111196269,0.192578755170297,-31.8047081909239,5.57207346917043e-222,7.82541998010296e-219
"ENSMUSG00000105504",14186.9590668053,-6.81005653453212,0.214669507009035,-31.7234460982178,7.38130746909985e-221,9.87267448533698e-218
"ENSMUSG00000028270",47809.7395039205,-6.74680943307816,0.213235948275671,-31.6401126903608,1.037232757698e-219,1.32426334991916e-216
"ENSMUSG00000016496",12818.4141147728,-5.06346799823585,0.1609828835607,-31.453455710567,3.7648900150147e-217,4.59774916268404e-214
"ENSMUSG00000032690",2270.54144054511,-6.5278483161863,0.212627097586706,-30.7009237781856,5.53234391181472e-207,6.47468649146049e-204
"ENSMUSG00000028268",8671.64416877828,-6.01282166664054,0.19633093169859,-30.625951879409,5.52543769340672e-206,6.20793975729632e-203
"ENSMUSG00000016206",1329.4384258716,-2.49363178714835,0.0857596763289177,-29.0769729305462,7.0197857192904e-186,7.58352851090111e-183
"ENSMUSG00000033880",8508.62386628134,-3.18392733970243,0.109719546292537,-29.0187796731619,3.81345948731906e-185,3.96712778073399e-182
"ENSMUSG00000045932",4716.33075458344,-4.98434114414044,0.172603841811472,-28.8773476408748,2.29888495077909e-183,2.30611001776725e-180
"ENSMUSG00000079363",18432.8814898166,-6.76079342586566,0.234540551207662,-28.8256908711691,1.02224537254242e-182,9.90097518067982e-180
"ENSMUSG00000078922",3479.49734096538,-6.94660877629402,0.246898126892324,-28.1355264364704,3.60311427892803e-174,3.37347579555101e-171
"ENSMUSG00000035929",14220.6590811502,-3.54866542537219,0.127151519062501,-27.9089502943954,2.0777365289716e-171,1.88256334276627e-168
"ENSMUSG00000052776",819.248308442431,-7.53658410187107,0.271433792730381,-27.7658283666886,1.12229748918414e-169,9.85096621131376e-167
"ENSMUSG00000027639",30541.0922742833,-2.51302730765265,0.0907314457723744,-27.6974238232387,7.49928307116827e-169,6.38302614857498e-166
"ENSMUSG00000049502",4386.36135287578,-3.55407123961168,0.130098868690512,-27.3182332435676,2.57626390365706e-164,2.12829707429175e-161
"ENSMUSG00000074896",5149.19373057599,-4.84635847102556,0.177427425976569,-27.3145960628745,2.84575321089923e-164,2.28375760536393e-161
"ENSMUSG00000035692",1914.65726849007,-5.74950744947559,0.210624413906259,-27.2974407042598,4.54896124072179e-164,3.54920064803871e-161
"ENSMUSG00000017830",1186.86479031462,-3.56436427207557,0.131883319448642,-27.0266496701549,7.18736508246805e-161,5.45618136314494e-158
"ENSMUSG00000078920",7691.67581647859,-5.29107791566217,0.196374683178256,-26.9437884254117,6.74519651428812e-160,4.98576525508749e-157
"ENSMUSG00000048852",2027.16041084022,-7.59595726745844,0.283018835999183,-26.839052039209,1.13207780308707e-158,8.15328239310504e-156
"ENSMUSG00000030107",1900.69616847082,-4.33014064310895,0.161798686538746,-26.7625203624383,8.82873282299978e-158,6.19953618831044e-155
"ENSMUSG00000030966",1476.50187127387,-2.43238753993803,0.0910902633313402,-26.7030465274894,4.33857574162364e-157,2.97224183977377e-154
"ENSMUSG00000027514",4754.13878268682,-5.92835054177872,0.222442704727677,-26.6511349474753,1.73629139266131e-156,1.16116553897788e-153
"ENSMUSG00000028037",1247.41234862732,-8.213635128371,0.309708050993516,-26.5205734950137,5.61336999845655e-155,3.66670550038715e-152
"ENSMUSG00000029561",8423.70714869146,-5.38738880361635,0.20393737015742,-26.4168788655939,8.76825172951836e-154,5.59733305860709e-151
