"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000031972",9273.70603600644,-12.3742570104499,0.46657582160119,-26.5214278956505,5.48742750286089e-155,1.59058573597926e-150
"ENSMUSG00000044041",14069.8785505826,-12.1891799936072,0.514277634980041,-23.7015556666785,3.4749383152333e-124,5.03622810026763e-120
"ENSMUSG00000030672",1446.0209202137,-6.79682001153633,0.307722103005532,-22.0875261970185,4.16593000370215e-108,4.02512156957702e-104
"ENSMUSG00000061723",3101.66685020906,-6.94896254144297,0.315031005203679,-22.0580273898762,7.99959671737984e-108,5.7969077612493e-104
"ENSMUSG00000030399",4308.12952167907,-8.0080611933868,0.371941502056744,-21.5304319337966,8.07772696199179e-103,4.68281987440588e-99
"ENSMUSG00000015437",4032.95501994569,4.79489340259873,0.226247013476536,21.1931787691686,1.10387436755921e-99,5.33281706967854e-96
"ENSMUSG00000021091",26740.8128151436,3.85250931768074,0.186668799270773,20.6382069886916,1.24599613558217e-94,5.15949199799781e-91
"ENSMUSG00000000031",2502.07062835746,-9.21436953800725,0.447383451520308,-20.596134047191,2.97246481575593e-94,1.07699831436877e-90
"ENSMUSG00000024222",6890.42681668348,4.00153061937836,0.196922664972629,20.320315185327,8.5028732818087e-92,2.73849205496119e-88
"ENSMUSG00000031097",1469.50990009519,-7.27870982903565,0.370221108701693,-19.6604398235447,4.70629301440766e-86,1.3641660931562e-82
"ENSMUSG00000113136",1071.40837169835,3.40768402783948,0.175338369265867,19.4349020246241,3.911603471612e-84,1.03074307480132e-80
"ENSMUSG00000006457",634.232089478,-7.46945663100223,0.419742210026595,-17.7953430762395,7.67956251785738e-71,1.85499832618845e-67
"ENSMUSG00000059741",1377.1189947219,-8.49965983929691,0.480551133023678,-17.6873161984161,5.25178942696758e-70,1.17098744869294e-66
"ENSMUSG00000026073",8222.0211759183,6.95831253836958,0.404708222010262,17.1934054213337,2.97531296664517e-66,6.16017297508406e-63
"ENSMUSG00000051439",4446.58451163746,3.634519425019,0.214013964069305,16.9826274693086,1.10429605020364e-64,2.1339416874135e-61
"ENSMUSG00000033420",3346.32222620446,-1.63620703488002,0.0968493120560284,-16.894358877154,4.95065774833362e-64,8.96873534332489e-61
"ENSMUSG00000030730",3037.11389978891,-7.11749604265964,0.425550404640253,-16.7253889669699,8.56154126187145e-63,1.45979314715651e-59
"ENSMUSG00000007122",404.523062005642,-6.35055055218226,0.384236611570114,-16.5277080865144,2.31790995326509e-61,3.73260766140789e-58
"ENSMUSG00000068614",4495.68468132394,-4.79828626563389,0.290441459340817,-16.5206657359594,2.60506631757414e-61,3.97423433058969e-58
"ENSMUSG00000108322",198.648694673406,-4.55258229932658,0.278015358994878,-16.3752906162658,2.87132675135585e-60,4.16141386074003e-57
"ENSMUSG00000030433",296.431971462713,-6.08575015221215,0.374876267445506,-16.2340235451069,2.89823097538711e-59,4.00038681202718e-56
"ENSMUSG00000060063",6026.94586312072,3.22092689262545,0.198935479675673,16.1908117037572,5.85510781494815e-59,7.71437068745851e-56
"ENSMUSG00000002100",1098.92840956367,-4.44023294803319,0.274813909670188,-16.1572351026993,1.00990718675471e-58,1.27274650935965e-55
"ENSMUSG00000030592",881.870778746692,-5.25841001292362,0.326039419207741,-16.1281418845037,1.6181602743852e-58,1.95433307138872e-55
"ENSMUSG00000135102",24849.2816103914,6.2657484095511,0.389499681274894,16.0866586309964,3.16462060162936e-58,3.66918771035315e-55
"ENSMUSG00000038264",9292.50147219599,2.52011726467089,0.156831974392061,16.0688996898739,4.21501726631542e-58,4.69909578774687e-55
"ENSMUSG00000030413",1988.05565963158,2.87044744975547,0.179076673622086,16.0291532766189,7.99648942177495e-58,8.58467564368773e-55
"ENSMUSG00000050370",712.491103916511,3.17253279212025,0.200546260060259,15.8194562749112,2.28457058310085e-56,2.36502010434861e-53
"ENSMUSG00000055775",8715.15205569449,-16.9755298350738,1.07821301852717,-15.7441336205181,7.53561125669299e-56,7.53197337539666e-53
"ENSMUSG00000001156",5238.27311124879,2.16288940900516,0.137508721796214,15.7291070759172,9.55490175553409e-56,9.23194607619704e-53
"ENSMUSG00000033065",1783.92706211904,-3.23771544590264,0.206152535887656,-15.7054359383047,1.3882014731202e-55,1.29801315806007e-52
"ENSMUSG00000006345",610.502008388623,4.21630885213971,0.272262348842538,15.486198771385,4.29972512272585e-54,3.89474476272911e-51
"ENSMUSG00000019850",3809.07779000067,2.21120743900009,0.14286404304265,15.4777044797757,4.90670913489884e-54,4.30987487830842e-51
"ENSMUSG00000031461",1600.7611727882,-4.13689695952403,0.269789302816884,-15.3338064790949,4.54550710888402e-53,3.76445911594607e-50
