"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000021266",22541.8993110903,3.83678558894468,0.0926826890437316,41.3970033512334,0,0
"ENSMUSG00000078853",18454.3510454642,4.93889632804032,0.140543141368754,35.1414966247392,1.56768567137236e-270,2.34243593016458e-266
"ENSMUSG00000046879",12963.9515767535,4.2875716155254,0.124428678607642,34.4580659660086,3.40959740614047e-260,3.39641362950339e-256
"ENSMUSG00000024066",41170.7704739344,3.12722926888045,0.0926573567538148,33.7504692389328,1.0522593202714e-249,7.86142938174763e-246
"ENSMUSG00000037321",10654.4405499106,3.18234435549916,0.0981299454912924,32.4299003690117,1.04032339615975e-230,6.21780487416762e-227
"ENSMUSG00000027639",30541.0922742833,2.97365111652427,0.0988064483840107,30.0957191069877,5.51242098460624e-199,2.74555314506621e-195
"ENSMUSG00000039699",1782.58761638793,4.82137167681028,0.162498262763349,29.6702967454598,1.85632354579302e-193,7.92491040606839e-190
"ENSMUSG00000018899",15532.5108909051,3.02254429281616,0.104013405585225,29.0591801682677,1.17816676625671e-185,4.40104195535193e-182
"ENSMUSG00000016496",12818.4141147728,4.9947154720124,0.174873308704898,28.5619086697849,1.99836793438748e-179,6.63546970569283e-176
"ENSMUSG00000066363",6076.04719318063,6.69803205156784,0.238727646938959,28.0572113764456,3.2620721768387e-173,9.74837649326478e-170
"ENSMUSG00000031972",9273.70603600644,-11.5990514117996,0.422625869899615,-27.4451997331697,7.92740216268616e-166,2.15365896572466e-162
"ENSMUSG00000041481",3713.51392185683,5.31005004701822,0.198561592567278,26.7425838922955,1.50609620631375e-157,3.75068158579001e-154
"ENSMUSG00000021750",2447.87978365202,4.55789299777307,0.172505029206269,26.4217977803016,7.69828295818272e-154,1.76965759940256e-150
"ENSMUSG00000034987",590.488426329716,3.25878235517698,0.125696131974666,25.9258761903173,3.40263616743304e-148,7.26316994482636e-145
"ENSMUSG00000038507",4009.36969773749,1.86010153019201,0.0728313466272153,25.5398481056911,7.1190497984944e-144,1.41830456118804e-140
"ENSMUSG00000015437",4032.95501994569,5.23192695015599,0.205013722663489,25.5198865821471,1.18599694458183e-143,2.21514579324272e-140
"ENSMUSG00000069919",19042.9062278096,-8.18879986178209,0.32541067830563,-25.1645087506657,9.80471854308398e-140,1.7029436705764e-136
"ENSMUSG00000021281",6207.32534504214,2.76459575113176,0.109868724496561,25.1627181784412,1.02573236750017e-139,1.7029436705764e-136
"ENSMUSG00000040033",5437.0325587991,2.09616681794134,0.0834819219608587,25.109230462185,3.94320552293209e-139,6.20203967617383e-136
"ENSMUSG00000025498",4377.45360116538,3.41136058678069,0.137382979199497,24.8310278802949,4.14581411180749e-136,6.19467544586275e-133
"ENSMUSG00000044041",14069.8785505826,-13.034112941488,0.547707086202876,-23.7975977850687,3.53662335983077e-125,5.03278345167537e-122
"ENSMUSG00000067212",17568.3886509973,2.84921586651766,0.119981266373335,23.7471728098952,1.17518194368973e-124,1.59632441841927e-121
"ENSMUSG00000105504",14186.9590668053,5.41035168715971,0.23100398239506,23.4210321011133,2.60956453293134e-121,3.39061854357045e-118
"ENSMUSG00000028270",47809.7395039205,5.40427104278948,0.231383719051505,23.3563150637514,1.18886721311206e-120,1.48033782486003e-117
"ENSMUSG00000040289",888.817062879497,-3.03379385285296,0.130502042358958,-23.2470986508259,1.52198382826768e-119,1.81931858895805e-116
"ENSMUSG00000028793",5055.01174465863,3.09385696715732,0.133302786194174,23.2092445738583,3.67267142941718e-119,4.22131203833473e-116
"ENSMUSG00000056116",6205.94706197802,2.52931851264406,0.109326655060217,23.1354239389372,2.03827652534575e-118,2.25599465494194e-115
"ENSMUSG00000078922",3479.49734096538,5.98262391990993,0.260050226140179,23.0056478269895,4.09238621308286e-117,4.36774534256315e-114
"ENSMUSG00000061723",3101.66685020906,-7.0175752235319,0.305993608152986,-22.9337314131848,2.14161455276989e-116,2.20689687224053e-113
"ENSMUSG00000070427",2449.60416652603,4.20602227083908,0.183566113844428,22.9128469451812,3.45979151644757e-116,3.44641365591731e-113
"ENSMUSG00000078921",3614.57862443402,4.46830992376077,0.198210719850613,22.5432303920213,1.56475277406361e-112,1.50842167419732e-109
"ENSMUSG00000024222",6890.42681668348,4.22698328156105,0.188427154739183,22.4329836504295,1.87623390788048e-111,1.75216794072188e-108
"ENSMUSG00000073940",17074.4654445262,-8.09429259952578,0.362691782769277,-22.317275946323,2.51131658760227e-110,2.27418742133049e-107
"ENSMUSG00000069917",7008.21208955811,-8.14610389220683,0.372510701884535,-21.8681070127532,5.22819856821389e-106,4.59527900036776e-103
"ENSMUSG00000052305",60030.9697595874,-7.4898912726962,0.343261073418445,-21.8198096221816,1.50484472111955e-105,1.28487941845533e-102
"ENSMUSG00000040026",17542.7290258429,8.00197023064003,0.372388235629067,21.4882465798697,2.00542775606875e-102,1.6647278628433e-99
"ENSMUSG00000030399",4308.12952167907,-7.49884074340397,0.355310247379064,-21.1050505824669,7.14782304257462e-99,5.77312280552162e-96
"ENSMUSG00000061232",59639.3427116279,2.02165488858535,0.0965782948181571,20.9328078570018,2.69164711998986e-97,2.11676796141518e-94
"ENSMUSG00000026628",1306.42940331964,2.43439767974301,0.116336139595231,20.9255497751002,3.13429490880634e-97,2.40167356550689e-94
"ENSMUSG00000044338",844.999131215242,-5.99376463684186,0.286622721206652,-20.9116870135372,4.19147945377511e-97,3.13145429991539e-94
"ENSMUSG00000031551",1797.72549643905,6.30081500287342,0.302050898357378,20.8601101242827,1.23387128679972e-96,8.99341695968852e-94
"ENSMUSG00000023913",5976.13667939873,4.53777086883245,0.218030967606323,20.8125062171253,3.33449268976354e-96,2.37257094144985e-93
"ENSMUSG00000020407",2126.48526745016,3.76533964963929,0.181331491190158,20.7649516635291,8.98176424460153e-96,6.24211727175981e-93
"ENSMUSG00000000031",2502.07062835746,-10.5145141396124,0.510354966296457,-20.6023548980312,2.61416856458272e-94,1.77549575872705e-91
"ENSMUSG00000049502",4386.36135287578,2.88999512400627,0.140378506429187,20.5871625045684,3.57714150897777e-94,2.37553993009537e-91
"ENSMUSG00000033207",2274.46739736179,-2.45066804812882,0.120318563445653,-20.3681624675961,3.20479122261732e-92,2.08199958471078e-89
"ENSMUSG00000025270",5148.86971493991,-7.45676454657606,0.366143001865481,-20.3657164238678,3.3688953393229e-92,2.14204400681543e-89
"ENSMUSG00000030672",1446.0209202137,-5.83153731722192,0.287068651327636,-20.3140861611054,9.65296957092549e-92,6.00977797203203e-89
"ENSMUSG00000020638",1655.79182467632,2.27065248488306,0.112032585923625,20.2677860745892,2.47545312621363e-91,1.50972329028098e-88
"ENSMUSG00000022584",4607.55841015983,4.72716398860902,0.234314568214232,20.174434840462,1.64230083442751e-90,9.81570362720635e-88
"ENSMUSG00000072620",6476.93807068873,3.25267220536373,0.162487572497808,20.0179752541235,3.84012347967692e-89,2.25016176601304e-86
"ENSMUSG00000068606",1334.67297732663,6.60346847329847,0.331232203573231,19.9360702312827,1.98023912194394e-88,1.13802819077255e-85
"ENSMUSG00000021186",1946.50247442594,-3.31847759378624,0.16663083836494,-19.9151467180307,3.0077015919998e-88,1.69588970519476e-85
"ENSMUSG00000079339",886.595301573368,3.49692202180646,0.17622374396288,19.8436484390154,1.25046120590085e-87,6.92014494021128e-85
"ENSMUSG00000059089",4285.44281253264,5.62961432013406,0.283953335429837,19.8258432555905,1.78169811352009e-87,9.68077571353355e-85
"ENSMUSG00000045932",4716.33075458344,3.66195058339871,0.184900393732232,19.8049907276122,2.69612481575837e-87,1.43876774989506e-84
"ENSMUSG00000033420",3346.32222620446,-1.8225810844813,0.0923613621089162,-19.733155107999,1.1195976470048e-86,5.86983440054237e-84
"ENSMUSG00000016206",1329.4384258716,1.74967032167558,0.089495922345148,19.550279787361,4.10264804204532e-85,2.11385403600832e-82
"ENSMUSG00000001156",5238.27311124879,2.57338680716646,0.131920420404585,19.5071149657815,9.55232187563061e-85,4.8383319818872e-82
"ENSMUSG00000052270",2766.71553445575,5.37130824689256,0.276199607006591,19.4471972828129,3.07801689768014e-84,1.53305761617122e-81
"ENSMUSG00000021091",26740.8128151436,3.44548292131127,0.178423648978878,19.3106852204281,4.36739631593146e-83,2.13959461484091e-80
"ENSMUSG00000031170",412.769105738534,-4.47725894004765,0.232918409967045,-19.2224347602284,2.40228620381496e-82,1.15790195023881e-79
"ENSMUSG00000026773",10811.964744278,2.52944252574018,0.131995361621263,19.1631167540413,7.52305381241917e-82,3.5685546052434e-79
"ENSMUSG00000057337",1023.70969923418,-3.26151341394415,0.171014127485052,-19.0716022232094,4.34777573467464e-81,2.03013953210964e-78
"ENSMUSG00000041773",1583.29967246856,1.90330911786135,0.100314167765381,18.9734826122755,2.82552366492462e-80,1.29904537234781e-77
"ENSMUSG00000019850",3809.07779000067,2.57305666391252,0.13601073304375,18.9180412922622,8.10095538870842e-80,3.66801440660852e-77
"ENSMUSG00000033355",1658.64252385075,2.40335366030472,0.127308291332031,18.8782178690668,1.72302376909836e-79,7.68520034563213e-77
"ENSMUSG00000024338",6492.90051624228,2.52542166237484,0.133853869242547,18.8670053145696,2.13034037242425e-79,9.36221936610679e-77
"ENSMUSG00000004328",889.591926641305,4.07331025971496,0.216038370625618,18.8545685098402,2.69528899922265e-79,1.16733357177927e-76
"ENSMUSG00000064080",893.241081378879,-3.48892648796984,0.185083602291898,-18.8505434558563,2.90839186996611e-79,1.24163403774382e-76
"ENSMUSG00000028776",12814.6060178251,3.30428137280265,0.175306728434878,18.8485713144211,3.01885718471835e-79,1.27064124095948e-76
"ENSMUSG00000027514",4754.13878268682,4.46429107199124,0.237772589401105,18.7754655960797,1.19892322084948e-78,4.97619743498139e-76
"ENSMUSG00000105096",2089.61671900123,6.22338853827461,0.331549763028062,18.7706016781193,1.31388969986088e-78,5.37866846447156e-76
"ENSMUSG00000030144",1078.45378875345,3.69320810837234,0.199101661760743,18.5493585322778,8.25310199095399e-77,3.33291486348201e-74
"ENSMUSG00000031097",1469.50990009519,-6.39393011635384,0.347607699466203,-18.3940980771501,1.46477943433275e-75,5.83646248207999e-73
"ENSMUSG00000033213",888.455681948954,5.5777780246664,0.304084406171994,18.3428610986107,3.76453057638504e-75,1.48025304927224e-72
"ENSMUSG00000018986",351.480632392263,3.1150913701074,0.170998571493252,18.2170607795418,3.77916962032282e-74,1.46671045368477e-71
"ENSMUSG00000017830",1186.86479031462,2.48943417545829,0.137669247825986,18.082717925538,4.36049144157628e-73,1.67062725948802e-70
"ENSMUSG00000025877",2084.10865396899,4.19284794746505,0.232914565275112,18.0016562833354,1.89078994408866e-72,7.15245147963869e-70
"ENSMUSG00000078920",7691.67581647859,3.8111523603515,0.211735287747661,17.999608855438,1.96199683777965e-72,7.32903918752588e-70
"ENSMUSG00000048852",2027.16041084022,4.96345598259785,0.275947115805256,17.9869826438074,2.46415107748232e-72,9.09119639499772e-70
"ENSMUSG00000022906",4070.36259878529,2.67243136446532,0.149261747004431,17.9043285912095,1.09102875610434e-71,3.97613455456367e-69
"ENSMUSG00000028047",1708.88017977363,-2.80339830329812,0.156918539539577,-17.8653096793007,2.19709381141414e-71,7.91059656148194e-69
"ENSMUSG00000069874",10162.5367388529,3.3150615168819,0.186802015948038,17.7463904768781,1.8379394705394e-70,6.53868846876182e-68
"ENSMUSG00000022221",872.785916988688,2.31415332351921,0.130425263310117,17.7431370639963,1.94752304664758e-70,6.84703279129603e-68
"ENSMUSG00000028268",8671.64416877828,3.72547254124946,0.210223747719113,17.7214638292301,2.86362766657702e-70,9.95077316139391e-68
"ENSMUSG00000030966",1476.50187127387,1.69933883661724,0.0959642173000735,17.7080466493414,3.63469042810454e-70,1.24849527302846e-67
"ENSMUSG00000024339",6889.8822687832,2.16554635010823,0.122798481158184,17.6349603812986,1.32789217110999e-69,4.50940109561942e-67
"ENSMUSG00000021322",625.619157446155,4.25233559215032,0.241232344332473,17.6275515786127,1.51382096550659e-69,5.08303659923585e-67
"ENSMUSG00000040483",2484.87681883127,2.19847399647561,0.124751101890304,17.6228823887164,1.6441041019991e-69,5.45915633157124e-67
"ENSMUSG00000039501",6025.94288911789,1.65687706184418,0.0943662142537217,17.5579477776797,5.17112556449377e-69,1.69817490515749e-66
"ENSMUSG00000020695",2170.77418131729,-3.31616585035006,0.189274546513287,-17.5204004523518,1.00118213007733e-68,3.25210073643816e-66
"ENSMUSG00000059741",1377.1189947219,-8.96258891096849,0.513544213901058,-17.4524192238203,3.29956848728095e-68,1.06026134057961e-65
"ENSMUSG00000062488",872.381970720986,2.50703166349584,0.144165322913806,17.389977095912,9.82735091143651e-68,3.12426121954648e-65
"ENSMUSG00000031636",618.083283431274,-3.25987737840752,0.187780919941517,-17.3600032390021,1.6571407130956e-67,5.21284137580514e-65
"ENSMUSG00000006642",836.687152222476,4.11495186790808,0.238395806258403,17.2610077857149,9.24826780808712e-67,2.87890869975912e-64
"ENSMUSG00000041831",396.133339919645,3.13068202983193,0.181543746873333,17.2447803008951,1.22477432572641e-66,3.77331504639259e-64
"ENSMUSG00000034459",2799.97084963583,3.39008298877395,0.196733625453715,17.2318432141715,1.53191050693569e-66,4.67138914176185e-64
"ENSMUSG00000015947",961.158018577954,4.0348108593682,0.234168306394776,17.2303883539477,1.57093092815141e-66,4.74198988453301e-64
